id,x,y,z,type
1,-10,0,0,0
2,-10,1,0,0
3,-10,1,0,0
4,-10,0,1,0
5,-10,1,1,0
6,-10,1,1,0
7,-10,0,2,0
8,-10,1,2,0
9,-10,1,2,0
10,-10,0,3,0
11,-10,1,3,0
12,-10,1,3,0
13,-10,0,4,0
14,-10,1,4,0
15,-10,1,4,0
16,-10,0,5,0
17,-10,1,5,0
18,-10,1,5,0
19,-10,0,6,0
20,-10,1,6,0
21,-10,1,6,0
22,-10,0,7,0
23,-10,1,7,0
24,-10,1,7,0
25,-10,0,8,0
26,-10,1,8,0
27,-10,1,8,0
28,-10,0,9,0
29,-10,1,9,0
30,-10,1,9,0
31,-10,0,10,0
32,-10,1,10,0
33,-10,1,10,0
34,-10,0,11,0
35,-10,1,11,0
36,-10,1,11,0
37,-10,0,12,0
38,-10,1,12,0
39,-10,1,12,0
40,-10,0,13,0
41,-10,1,13,0
42,-10,1,13,0
43,-10,0,14,0
44,-10,1,14,0
45,-10,1,14,0
46,-10,0,15,0
47,-10,1,15,0
48,-10,1,15,0
49,-10,0,16,0
50,-10,1,16,0
51,-10,1,16,0
52,-10,0,17,0
53,-10,1,17,0
54,-10,1,17,0
55,-10,0,18,0
56,-10,1,18,0
57,-10,1,18,0
58,-10,0,19,0
59,-10,1,19,0
60,-10,1,19,0
61,-10,0,20,0
62,-10,1,20,0
63,-10,1,20,0
64,-9,0,0,0
65,-9,0,1,0
66,-9,0,2,0
67,-9,0,3,0
68,-9,0,4,0
69,-9,0,5,0
70,-9,0,6,0
71,-9,0,7,0
72,-9,0,8,0
73,-9,0,9,0
74,-9,0,10,0
75,-9,0,11,0
76,-9,0,12,0
77,-9,0,13,0
78,-9,0,14,0
79,-9,0,15,0
80,-9,0,16,0
81,-9,0,17,0
82,-9,0,18,0
83,-9,0,19,0
84,-9,0,20,0
85,-8,0,0,0
86,-8,0,1,0
87,-8,0,2,0
88,-8,0,3,0
89,-8,0,4,0
90,-8,0,5,0
91,-8,0,6,0
92,-8,0,7,0
93,-8,0,8,0
94,-8,0,9,0
95,-8,0,10,0
96,-8,0,11,0
97,-8,0,12,0
98,-8,0,13,0
99,-8,0,14,0
100,-8,0,15,0
101,-8,0,16,0
102,-8,0,17,0
103,-8,0,18,0
104,-8,0,19,0
105,-8,0,20,0
106,-7,0,0,0
107,-7,0,1,0
108,-7,0,2,0
109,-7,0,3,0
110,-7,0,4,0
111,-7,0,5,0
112,-7,0,6,0
113,-7,0,7,0
114,-7,0,8,0
115,-7,0,9,0
116,-7,0,10,0
117,-7,0,11,0
118,-7,0,12,0
119,-7,0,13,0
120,-7,0,14,0
121,-7,0,15,0
122,-7,0,16,0
123,-7,0,17,0
124,-7,0,18,0
125,-7,0,19,0
126,-7,0,20,0
127,-6,0,0,0
128,-6,0,1,0
129,-6,0,2,0
130,-6,0,3,0
131,-6,0,4,0
132,-6,0,5,0
133,-6,0,6,0
134,-6,0,7,0
135,-6,0,8,0
136,-6,0,9,0
137,-6,0,10,0
138,-6,0,11,0
139,-6,0,12,0
140,-6,0,13,0
141,-6,0,14,0
142,-6,0,15,0
143,-6,0,16,0
144,-6,0,17,0
145,-6,0,18,0
146,-6,0,19,0
147,-6,0,20,0
148,-5,0,0,0
149,-5,0,1,0
150,-5,0,2,0
151,-5,0,3,0
152,-5,0,4,0
153,-5,0,5,0
154,-5,0,6,0
155,-5,0,7,0
156,-5,0,8,0
157,-5,0,9,0
158,-5,0,10,0
159,-5,0,11,0
160,-5,0,12,0
161,-5,0,13,0
162,-5,0,14,0
163,-5,0,15,0
164,-5,0,16,0
165,-5,0,17,0
166,-5,0,18,0
167,-5,0,19,0
168,-5,0,20,0
169,-4,0,0,0
170,-4,0,1,0
171,-4,0,2,0
172,-4,0,3,0
173,-4,0,4,0
174,-4,0,5,0
175,-4,0,6,0
176,-4,0,7,0
177,-4,0,8,0
178,-4,0,9,0
179,-4,0,10,0
180,-4,0,11,0
181,-4,0,12,0
182,-4,0,13,0
183,-4,0,14,0
184,-4,0,15,0
185,-4,0,16,0
186,-4,0,17,0
187,-4,0,18,0
188,-4,0,19,0
189,-4,0,20,0
190,-3,0,-1,0
191,-3,1,-1,9
192,-3,2,-1,9
193,-3,0,0,0
194,-3,0,0,0
195,-3,1,0,9
196,-3,2,0,9
197,-3,0,1,0
198,-3,0,1,0
199,-3,1,1,9
200,-3,2,1,9
201,-3,0,2,0
202,-3,0,2,0
203,-3,1,2,9
204,-3,2,2,9
205,-3,0,3,0
206,-3,0,3,0
207,-3,1,3,9
208,-3,2,3,9
209,-3,0,4,0
210,-3,0,5,0
211,-3,0,6,0
212,-3,0,7,0
213,-3,0,8,0
